,epoch,val_loss
0,0.0,0.08957315236330032
1,1.0,0.10666166245937347
2,2.0,0.08405958116054535
3,3.0,0.08327259123325348
4,4.0,0.10983947664499283
5,5.0,0.09185060113668442
6,6.0,0.09421870112419128
7,7.0,0.093417227268219
8,8.0,0.08739369362592697
9,9.0,0.0797438845038414
10,10.0,0.07186270505189896
11,11.0,0.07257602363824844
12,12.0,0.06973335146903992
13,13.0,0.06838957965373993
14,14.0,0.06252704560756683
15,15.0,0.06026891991496086
16,16.0,0.061097651720047
17,17.0,0.059597570449113846
18,18.0,0.059423770755529404
19,19.0,0.058538973331451416
